model_name,organization,announcement_date,total_params,active_params,param_disclosure,param_source_note,architecture_type,context_window,open_weights,frontier_at_release,frontier_open_at_release,cap_text,cap_vision,cap_audio,cap_video,cap_code_specialized,cap_reasoning,cap_tool_use,release_url,supporting_url
Pixtral Large,Mistral AI,2024-11-18,125000000000,125000000000,official,124B decoder + 1B vision encoder; MRL research license,dense,128000,true,false,true,true,true,false,false,false,false,true,https://mistral.ai/news/pixtral-large,
Codestral 25.01,Mistral AI,2025-01-13,,,unknown,API-only release; weights not published,dense,256000,false,false,false,true,false,false,false,true,false,false,https://mistral.ai/news/codestral-2501,
Mistral Small 3,Mistral AI,2025-01-30,24000000000,24000000000,official,,dense,32000,true,false,false,true,false,false,false,false,false,true,https://mistral.ai/news/mistral-small-3/,
Mistral Saba,Mistral AI,2025-02-17,24000000000,24000000000,official,regional Arabic/South Asian specialist; closed weights,dense,,false,false,false,true,false,false,false,false,false,true,https://mistral.ai/news/mistral-saba,
Mistral Small 3.1,Mistral AI,2025-03-17,24000000000,24000000000,official,,dense,128000,true,false,false,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-small-3-1,
Mistral Medium 3,Mistral AI,2025-05-07,,,unknown,proprietary closed-weights; params undisclosed,dense,128000,false,false,false,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-medium-3,
Devstral Small,Mistral AI,2025-05-21,24000000000,24000000000,estimated,"24B inferred from Mistral Small 3.1 lineage and 'runs on RTX 4090/32GB Mac' hardware framing; not stated in release URL",dense,128000,true,false,false,true,false,false,false,true,false,true,https://mistral.ai/news/devstral,
Magistral Small,Mistral AI,2025-06-10,24000000000,24000000000,official,reasoning fine-tune of Mistral Small 3,dense,128000,true,false,false,true,false,false,false,false,true,true,https://mistral.ai/news/magistral,https://arxiv.org/abs/2506.10910
Magistral Medium,Mistral AI,2025-06-10,,,unknown,proprietary enterprise version; params undisclosed,dense,128000,false,false,false,true,false,false,false,false,true,true,https://mistral.ai/news/magistral,
Mistral Small 3.2,Mistral AI,2025-06-20,24000000000,24000000000,official,"point update to 3.1; release date confirmed via Mistral AI tweet + HF initial commit 2025-06-20; context 131072 from HF config.json max_position_embeddings (docs rounds to 128k)",dense,131072,true,false,false,true,true,false,false,false,false,true,https://docs.mistral.ai/models/mistral-small-3-2-25-06,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506
Mistral Large 3,Mistral AI,2025-12-02,675000000000,41000000000,official,first MoE since Mixtral family; multimodal,MoE,256000,true,false,true,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-3,
Ministral 3 14B,Mistral AI,2025-12-02,14000000000,14000000000,official,base/instruct/reasoning variants,dense,256000,true,false,false,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-3,
Ministral 3 8B,Mistral AI,2025-12-02,8000000000,8000000000,official,base/instruct/reasoning variants,dense,256000,true,false,false,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-3,
Ministral 3 3B,Mistral AI,2025-12-02,3000000000,3000000000,official,base/instruct/reasoning variants,dense,256000,true,false,false,true,true,false,false,false,false,true,https://mistral.ai/news/mistral-3,
Devstral 2,Mistral AI,2025-12-09,123000000000,123000000000,official,agentic coding model co-released with Devstral Small 2 (24B),dense,256000,true,false,false,true,false,false,false,true,false,true,https://mistral.ai/news/devstral-2-vibe-cli,https://huggingface.co/mistralai/Devstral-2-123B-Instruct-2512
Mistral Small 4,Mistral AI,2026-03-16,119000000000,6000000000,official,"128 experts, 4 active per token; unifies reasoning/vision/coding",MoE,256000,true,false,true,true,true,false,false,false,true,true,https://mistral.ai/news/mistral-small-4,
Claude 1,Anthropic,2023-03-14,,,unknown,Anthropic has never disclosed params for any Claude model,dense,9000,false,false,false,true,false,false,false,false,false,false,https://www.anthropic.com/news/introducing-claude,
Claude Instant 1,Anthropic,2023-03-14,,,unknown,faster/cheaper sibling to Claude 1; params undisclosed,dense,9000,false,false,false,true,false,false,false,false,false,false,https://www.anthropic.com/news/introducing-claude,
Claude 2,Anthropic,2023-07-11,,,unknown,params undisclosed,dense,100000,false,false,false,true,false,false,false,false,false,false,https://www.anthropic.com/news/claude-2,
Claude 2.1,Anthropic,2023-11-21,,,unknown,first Claude with beta tool use / function calling,dense,200000,false,false,false,true,false,false,false,false,false,true,https://www.anthropic.com/news/claude-2-1,
Claude 3 Opus,Anthropic,2024-03-04,,,unknown,frontier at release; first Claude with native vision,dense,200000,false,true,false,true,true,false,false,false,false,true,https://www.anthropic.com/news/claude-3-family,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf
Claude 3 Sonnet,Anthropic,2024-03-04,,,unknown,mid-tier of Claude 3 family,dense,200000,false,false,false,true,true,false,false,false,false,true,https://www.anthropic.com/news/claude-3-family,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf
Claude 3 Haiku,Anthropic,2024-03-13,,,unknown,supporting_url = Claude 3 model card confirms 200k context,dense,200000,false,false,false,true,true,false,false,false,false,true,https://www.anthropic.com/news/claude-3-haiku,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf
Claude 3.5 Sonnet (2024-06),Anthropic,2024-06-20,,,unknown,outperformed Claude 3 Opus on most evals; introduced Artifacts,dense,200000,false,true,false,true,true,false,false,false,false,true,https://www.anthropic.com/news/claude-3-5-sonnet,
Claude 3.5 Sonnet (2024-10),Anthropic,2024-10-22,,,unknown,"""new"" 3.5 Sonnet checkpoint (claude-3-5-sonnet-20241022); first model with computer use beta",dense,200000,false,true,false,true,true,false,false,false,false,true,https://www.anthropic.com/news/3-5-models-and-computer-use,
Claude 3.5 Haiku,Anthropic,2024-11-04,,,unknown,text-only at release; image input added later,dense,200000,false,false,false,true,false,false,false,false,false,true,https://www.anthropic.com/news/3-5-models-and-computer-use,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf
Claude 3.7 Sonnet,Anthropic,2025-02-24,,,unknown,first Anthropic hybrid reasoning model with toggleable extended thinking,dense,200000,false,true,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-3-7-sonnet,
Claude Opus 4,Anthropic,2025-05-22,,,unknown,hybrid reasoning; parallel tool execution; top coding model at release,dense,200000,false,true,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-4,
Claude Sonnet 4,Anthropic,2025-05-22,,,unknown,co-released with Opus 4; hybrid reasoning,dense,200000,false,false,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-4,
Claude Opus 4.1,Anthropic,2025-08-05,,,unknown,drop-in upgrade to Opus 4; 74.5% SWE-bench,dense,200000,false,true,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-opus-4-1,
Claude Sonnet 4.5,Anthropic,2025-09-29,1000000000000,1000000000000,leaked,"Musk tweet 2026-04-09 inferred Sonnet=2x Grok 0.5T => 1T; widely picked up; refers to ""current"" Sonnet at tweet time = 4.5",dense,200000,false,true,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-sonnet-4-5,https://adam.holter.com/elon-musk-accidentally-leaked-anthropics-model-sizes/
Claude Haiku 4.5,Anthropic,2025-10-15,,,unknown,"first Haiku with extended thinking, computer use, and vision",dense,200000,false,false,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-haiku-4-5,
Claude Opus 4.5,Anthropic,2025-11-24,,,unknown,new effort parameter; price drop to $5/$25,dense,200000,false,true,false,true,true,false,false,false,true,true,https://www.anthropic.com/news/claude-opus-4-5,
Claude Opus 4.6,Anthropic,2026-02-05,5000000000000,5000000000000,leaked,"Musk tweet 2026-04-09 inferred Opus=10x Grok 0.5T => 5T; refers to ""current"" Opus at tweet time = 4.6; conflicts with throughput-based MoE estimates of 1.5-2T",dense,1000000,false,true,false,true,true,false,false,false,true,true,https://techcrunch.com/2026/02/05/anthropic-releases-opus-4-6-with-new-agent-teams/,https://adam.holter.com/elon-musk-accidentally-leaked-anthropics-model-sizes/
Claude Opus 4.7,Anthropic,2026-04-16,,,unknown,"high-res vision (3.75MP), task budgets, self-verification",dense,1000000,false,true,false,true,true,false,false,false,true,true,https://platform.claude.com/docs/en/about-claude/models/whats-new-claude-4-7,
Mythos,Anthropic,2026-04-07,,,unknown,"10T figure (Hartford tweet + community chatter) not substantiated by either cited URL; primary blog focuses on cybersecurity capabilities and does not disclose params; supporting URL explicitly disclaims knowledge of architecture. Left as unknown pending a citable primary/secondary source.",other,,false,false,false,true,false,false,false,false,true,true,https://red.anthropic.com/2026/mythos-preview/,https://www.interconnects.ai/p/claude-mythos-and-misguided-open
